Gm#,Day_of_Week,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
27,Tuesday, 4/29/2014,boxscore,BOS,,TBR,W,7,4,,13-14,3,2.5,Lackey,Gomes,Uehara,3:40,N,34794,+,
28,Thursday, 5/1/2014,boxscore,BOS,,TBR,L,1,2,,13-15,4,3,Gomes,Peavy,Balfour,3:27,D,35621,-,
29,Thursday, 5/1/2014,boxscore,BOS,,TBR,L,5,6,,13-16,4,3,McGee,Uehara,Balfour,3:44,N,33465,--,2014-04-30 (Rain)
30,Friday, 5/2/2014,boxscore,BOS,,OAK,W,7,1,,14-16,3,2.5,Buchholz,Straily,,3:37,N,34850,+,
31,Saturday, 5/3/2014,boxscore,BOS,,OAK,W,6,3,,15-16,3,2,Lester,Milone,Uehara,2:44,D,37042,++,
32,Sunday, 5/4/2014,boxscore,BOS,,OAK,L,2,3,10,15-17,3,2,Johnson,Capuano,,3:45,D,35649,-,
33,Tuesday, 5/6/2014,boxscore,BOS,,CIN,W-wo,4,3,12,16-17,3,1.5,Breslow,Ondrusek,,4:04,N,36004,+,
34,Wednesday, 5/7/2014,boxscore,BOS,,CIN,W,4,3,,17-17,3,1.5,Breslow,Hoover,Uehara,2:47,N,37072,++,
35,Friday, 5/9/2014,boxscore,BOS,@,TEX,L,0,8,,17-18,4,3,Darvish,Buchholz,,3:10,N,45392,-,
36,Saturday, 5/10/2014,boxscore,BOS,@,TEX,W,8,3,,18-18,3,3,Lester,Perez,,3:09,N,47964,+,
37,Sunday, 5/11/2014,boxscore,BOS,@,TEX,W,5,2,,19-18,3,2,Lackey,Ross,Uehara,2:47,D,41407,++,
38,Tuesday, 5/13/2014,boxscore,BOS,@,MIN,L-wo,6,8,,19-19,2,1.5,Perkins,Miller,,3:25,N,23949,-,
39,Wednesday, 5/14/2014,boxscore,BOS,@,MIN,W,9,4,,20-19,2,0.5,Doubront,Correia,,3:07,N,26802,+,
40,Thursday, 5/15/2014,boxscore,BOS,@,MIN,L-wo,3,4,10,20-20,3,1.5,Duensing,Miller,,3:21,D,29628,-,
41,Friday, 5/16/2014,boxscore,BOS,,DET,L,0,1,,20-21,4,2.5,Scherzer,Lester,Nathan,3:14,N,37225,--,
42,Saturday, 5/17/2014,boxscore,BOS,,DET,L,1,6,,20-22,4,2.5,Porcello,Lackey,,2:49,N,37608,---,
43,Sunday, 5/18/2014,boxscore,BOS,,DET,L,2,6,,20-23,4,3,Sanchez,Peavy,,3:19,N,35006,----,
44,Tuesday, 5/20/2014,boxscore,BOS,,TOR,L,4,7,,20-24,4,3.5,Happ,Doubront,Janssen,3:17,N,37904,-----,
45,Wednesday, 5/21/2014,boxscore,BOS,,TOR,L,4,6,,20-25,4,4,Hutchison,Buchholz,Janssen,3:23,N,36116,------,
46,Thursday, 5/22/2014,boxscore,BOS,,TOR,L,2,7,,20-26,4,5,Buehrle,Lester,,2:58,D,36018,-------,
47,Friday, 5/23/2014,boxscore,BOS,@,TBR,L-wo,0,1,,20-27,4,6,Oviedo,Miller,,3:25,N,20898,--------,
48,Saturday, 5/24/2014,boxscore,BOS,@,TBR,L-wo,5,6,15,20-28,5,7,Ramos,Miller,,5:16,D,23569,---------,
49,Sunday, 5/25/2014,boxscore,BOS,@,TBR,L,5,8,,20-29,5,8,Peralta,Breslow,Balfour,3:27,D,26199,----------,
50,Monday, 5/26/2014,boxscore,BOS,@,ATL,W,8,6,,21-29,5,8,Mujica,Thomas,Uehara,3:40,D,48501,+,
51,Tuesday, 5/27/2014,boxscore,BOS,@,ATL,W,6,3,,22-29,4,8,Lester,Varvaro,Uehara,3:32,N,37168,++,
52,Wednesday, 5/28/2014,boxscore,BOS,,ATL,W,4,0,,23-29,4,8,Lackey,Floyd,,3:09,N,36189,+++,
53,Thursday, 5/29/2014,boxscore,BOS,,ATL,W-wo,4,3,,24-29,4,7,Uehara,Kimbrel,,3:00,N,36292,++++,
54,Friday, 5/30/2014,boxscore,BOS,,TBR,W-wo,3,2,10,25-29,4,6,Miller,Oviedo,,3:55,N,35820,+++++,
55,Saturday, 5/31/2014,boxscore,BOS,,TBR,W,7,1,,26-29,4,6,De La Rosa,Odorizzi,,3:07,N,37076,++++++,
56,Sunday, 6/1/2014,boxscore,BOS,,TBR,W,4,0,,27-29,4,6,Lester,Bedard,,3:12,D,37688,+++++++,
57,Monday, 6/2/2014,boxscore,BOS,@,CLE,L,2,3,,27-30,4,6.5,Masterson,Lackey,Allen,2:21,N,14078,-,
58,Tuesday, 6/3/2014,boxscore,BOS,@,CLE,L,3,5,,27-31,4,7.5,Hagadone,Peavy,Allen,3:09,N,18738,--,
59,Wednesday, 6/4/2014,boxscore,BOS,@,CLE,L-wo,4,7,12,27-32,4,8.5,Carrasco,Mujica,,4:29,N,20209,---,
60,Friday, 6/6/2014,boxscore,BOS,@,DET,L,2,6,,27-33,4,10,Smyly,De La Rosa,,2:49,N,39762,----,
61,Saturday, 6/7/2014,boxscore,BOS,@,DET,L,6,8,,27-34,4,10,Scherzer,Lester,,3:36,N,43359,-----,
62,Sunday, 6/8/2014,boxscore,BOS,@,DET,W,5,3,,28-34,4,9,Lackey,Chamberlain,Uehara,3:35,N,33835,+,
63,Monday, 6/9/2014,boxscore,BOS,@,BAL,L,0,4,,28-35,4,10,Norris,Peavy,,2:21,N,19729,-,
64,Tuesday, 6/10/2014,boxscore,BOS,@,BAL,W,1,0,,29-35,4,9,Workman,Tillman,Uehara,2:32,N,24184,+,
65,Wednesday, 6/11/2014,boxscore,BOS,@,BAL,L,0,6,,29-36,4,9,Chen,De La Rosa,,2:49,N,25886,-,
66,Thursday, 6/12/2014,boxscore,BOS,,CLE,W,5,2,,30-36,4,8,Lester,Tomlin,Uehara,3:08,N,37750,+,
67,Friday, 6/13/2014,boxscore,BOS,,CLE,W,10,3,,31-36,4,8,Lackey,Masterson,,3:13,N,35772,++,
68,Saturday, 6/14/2014,boxscore,BOS,,CLE,L,2,3,,31-37,4,8,Axford,Breslow,Allen,3:24,D,37181,-,
69,Sunday, 6/15/2014,boxscore,BOS,,CLE,L,2,3,11,31-38,4,9,Allen,Tazawa,,4:03,D,37356,--,
70,Monday, 6/16/2014,boxscore,BOS,,MIN,W,1,0,,32-38,4,8.5,De La Rosa,Correia,Uehara,2:45,N,35693,+,
71,Tuesday, 6/17/2014,boxscore,BOS,,MIN,W,2,1,,33-38,4,7.5,Lester,Hughes,Mujica,2:48,N,36835,++,
72,Wednesday, 6/18/2014,boxscore,BOS,,MIN,W-wo,2,1,10,34-38,4,6.5,Uehara,Fien,,2:31,D,36489,+++,
73,Thursday, 6/19/2014,boxscore,BOS,@,OAK,L,2,4,,34-39,4,6.5,Kazmir,Peavy,Otero,2:39,N,24371,-,
74,Friday, 6/20/2014,boxscore,BOS,@,OAK,L,3,4,,34-40,4,7.5,Abad,Miller,Doolittle,3:21,N,28602,--,
75,Saturday, 6/21/2014,boxscore,BOS,@,OAK,L-wo,1,2,10,34-41,4,7.5,Otero,Mujica,,3:04,D,32873,---,
76,Sunday, 6/22/2014,boxscore,BOS,@,OAK,W,7,6,10,35-41,4,6.5,Uehara,Abad,,3:22,D,36067,+,
77,Monday, 6/23/2014,boxscore,BOS,@,SEA,L,3,12,,35-42,4,7.5,Hernandez,Lackey,,2:57,N,26860,-,
78,Tuesday, 6/24/2014,boxscore,BOS,@,SEA,L,2,8,,35-43,4,8.5,Beimel,Peavy,,3:14,N,20015,--,
79,Wednesday, 6/25/2014,boxscore,BOS,@,SEA,W,5,4,,36-43,4,7.5,Buchholz,Iwakuma,Uehara,2:40,N,27333,+,
80,Friday, 6/27/2014,boxscore,BOS,@,NYY,L,0,6,,36-44,4,8,Nuno,Workman,,2:42,N,48522,-,
81,Saturday, 6/28/2014,boxscore,BOS,@,NYY,W,2,1,,37-44,4,7,Lester,Tanaka,Uehara,2:47,N,48433,+,
82,Sunday, 6/29/2014,boxscore,BOS,@,NYY,W,8,5,,38-44,4,6,Lackey,Whitley,Uehara,3:38,N,48124,++,
83,Monday, 6/30/2014,boxscore,BOS,,CHC,L,0,2,,38-45,4,6.5,Arrieta,Peavy,Rondon,2:59,N,37814,-,
84,Tuesday, 7/1/2014,boxscore,BOS,,CHC,L,1,2,,38-46,4,7.5,Strop,Uehara,Rondon,3:35,N,36748,--,
85,Wednesday, 7/2/2014,boxscore,BOS,,CHC,L,9,16,,38-47,4,8.5,Villanueva,Workman,,4:19,N,37055,---,
86,Saturday, 7/5/2014,boxscore,BOS,,BAL,W-wo,3,2,,39-47,4,8,Uehara,McFarland,,2:40,D,35714,+,
87,Saturday, 7/5/2014,boxscore,BOS,,BAL,L,4,7,,39-48,4,8,Brach,Lackey,Britton,3:36,N,36468,-,2014-07-04 (Rain)
88,Sunday, 7/6/2014,boxscore,BOS,,BAL,L,6,7,12,39-49,5,9,Brach,Mujica,Britton,5:05,D,35811,--,
89,Monday, 7/7/2014,boxscore,BOS,,CHW,L,0,4,,39-50,5,10,Carroll,Buchholz,,2:55,N,35114,---,
90,Tuesday, 7/8/2014,boxscore,BOS,,CHW,L,3,8,,39-51,5,10.5,Danks,Workman,,3:11,N,35345,----,
91,Wednesday, 7/9/2014,boxscore,BOS,,CHW,W-wo,5,4,,40-51,5,9.5,Uehara,Guerra,,2:54,N,36218,+,
92,Thursday, 7/10/2014,boxscore,BOS,,CHW,W-wo,4,3,10,41-51,4,9.5,Miller,Belisario,,3:22,D,37547,++,
93,Friday, 7/11/2014,boxscore,BOS,@,HOU,W,8,3,,42-51,4,9.5,Lackey,Feldman,,3:27,N,27264,+++,
94,Saturday, 7/12/2014,boxscore,BOS,@,HOU,L,2,3,,42-52,4,9.5,Fields,Peavy,Qualls,3:06,D,26322,-,
95,Sunday, 7/13/2014,boxscore,BOS,@,HOU,W,11,0,,43-52,4,9.5,Buchholz,Peacock,,3:23,D,20681,+,
96,Friday, 7/18/2014,boxscore,BOS,,KCR,W,5,4,,44-52,4,8.5,Buchholz,Downs,Uehara,3:31,N,37743,++,
97,Saturday, 7/19/2014,boxscore,BOS,,KCR,W,2,1,,45-52,4,8.5,De La Rosa,Duffy,Uehara,2:39,N,37878,+++,
98,Sunday, 7/20/2014,boxscore,BOS,,KCR,W,6,0,,46-52,4,7.5,Lester,Ventura,,2:56,D,37439,++++,
99,Monday, 7/21/2014,boxscore,BOS,@,TOR,W,14,1,,47-52,4,7.5,Lackey,Hutchison,,2:45,N,27905,+++++,
100,Tuesday, 7/22/2014,boxscore,BOS,@,TOR,L,3,7,,47-53,5,8.5,Happ,Peavy,Cecil,3:07,N,29269,-,
101,Wednesday, 7/23/2014,boxscore,BOS,@,TOR,L,4,6,,47-54,5,8.5,Dickey,Buchholz,Janssen,2:35,N,35696,--,
102,Thursday, 7/24/2014,boxscore,BOS,@,TOR,L,0,8,,47-55,5,9.5,Stroman,De La Rosa,,2:56,D,46683,---,
103,Friday, 7/25/2014,boxscore,BOS,@,TBR,L,4,6,,47-56,5,10.5,Price,Tazawa,McGee,3:04,N,23136,----,
104,Saturday, 7/26/2014,boxscore,BOS,@,TBR,L,0,3,,47-57,5,10.5,Balfour,Lackey,McGee,3:23,N,26659,-----,
105,Sunday, 7/27/2014,boxscore,BOS,@,TBR,W,3,2,,48-57,5,10.5,Webster,Archer,Uehara,3:22,D,25221,+,
106,Monday, 7/28/2014,boxscore,BOS,,TOR,L,1,14,,48-58,5,11,Dickey,Buchholz,,3:15,N,37974,-,
107,Tuesday, 7/29/2014,boxscore,BOS,,TOR,L,2,4,,48-59,5,12,Stroman,De La Rosa,Janssen,3:03,N,38275,--,
108,Wednesday, 7/30/2014,boxscore,BOS,,TOR,L,1,6,,48-60,5,13,Buehrle,Workman,,2:48,N,38203,---,
109,Friday, 8/1/2014,boxscore,BOS,,NYY,W,4,3,,49-60,5,12.5,Ranaudo,Capuano,Uehara,3:03,N,37782,+,
110,Saturday, 8/2/2014,boxscore,BOS,,NYY,L,4,6,,49-61,5,12.5,Kelley,Webster,Robertson,3:56,D,37302,-,
111,Sunday, 8/3/2014,boxscore,BOS,,NYY,L,7,8,,49-62,5,13.5,Rogers,Breslow,Robertson,3:42,N,38035,--,
112,Tuesday, 8/5/2014,boxscore,BOS,@,STL,L,2,3,,49-63,5,15,Neshek,Tazawa,Rosenthal,3:04,N,43432,---,
113,Wednesday, 8/6/2014,boxscore,BOS,@,STL,W,2,1,,50-63,5,14,Tazawa,Rosenthal,Uehara,3:01,N,42733,+,
114,Thursday, 8/7/2014,boxscore,BOS,@,STL,L,2,5,,50-64,5,15,Wainwright,Workman,Neshek,3:08,N,44570,-,
115,Friday, 8/8/2014,boxscore,BOS,@,LAA,W,4,2,,51-64,5,15,Webster,Weaver,Uehara,3:10,N,38016,+,
116,Saturday, 8/9/2014,boxscore,BOS,@,LAA,L-wo,4,5,19,51-65,5,16,Shoemaker,Workman,,6:32,N,42159,-,
117,Sunday, 8/10/2014,boxscore,BOS,@,LAA,W,3,1,,52-65,5,15,De La Rosa,Smith,Uehara,3:03,D,36300,+,
118,Tuesday, 8/12/2014,boxscore,BOS,@,CIN,W,3,2,,53-65,5,15,Layne,Broxton,Uehara,3:05,N,35903,++,
119,Wednesday, 8/13/2014,boxscore,BOS,@,CIN,W,5,4,,54-65,5,15,Ranaudo,Leake,Mujica,3:01,D,32870,+++,
120,Thursday, 8/14/2014,boxscore,BOS,,HOU,W,9,4,,55-65,5,14.5,Webster,Feldman,,3:19,N,38065,++++,
121,Friday, 8/15/2014,boxscore,BOS,,HOU,L,3,5,10,55-66,5,14.5,Sipp,Breslow,,3:46,N,37016,-,
122,Saturday, 8/16/2014,boxscore,BOS,,HOU,W,10,7,,56-66,5,13.5,Wilson,Fields,,3:50,N,37652,+,
123,Sunday, 8/17/2014,boxscore,BOS,,HOU,L,1,8,,56-67,5,14.5,McHugh,Kelly,,3:11,D,36717,-,
124,Monday, 8/18/2014,boxscore,BOS,,LAA,L,2,4,,56-68,5,15.5,Wilson,Workman,Jepsen,3:22,N,35170,--,
125,Tuesday, 8/19/2014,boxscore,BOS,,LAA,L,3,4,,56-69,5,16.5,Smith,Uehara,Street,3:24,N,35471,---,
126,Wednesday, 8/20/2014,boxscore,BOS,,LAA,L,3,8,,56-70,5,17.5,Rasmus,Buchholz,,3:42,N,35136,----,
127,Thursday, 8/21/2014,boxscore,BOS,,LAA,L,0,2,,56-71,5,18,Shoemaker,De La Rosa,Grilli,3:10,N,36160,-----,
128,Friday, 8/22/2014,boxscore,BOS,,SEA,L,3,5,,56-72,5,18,Leone,Uehara,Rodney,3:41,N,36433,------,
129,Saturday, 8/23/2014,boxscore,BOS,,SEA,L,3,7,,56-73,5,18,Wilhelmsen,Workman,,3:28,D,36905,-------,
130,Sunday, 8/24/2014,boxscore,BOS,,SEA,L,6,8,,56-74,5,18,Leone,Webster,Rodney,4:07,D,37022,--------,
131,Monday, 8/25/2014,boxscore,BOS,@,TOR,W,4,3,10,57-74,5,18,Uehara,Sanchez,Breslow,3:07,N,26041,+,
132,Tuesday, 8/26/2014,boxscore,BOS,@,TOR,W,11,7,11,58-74,5,18,Tazawa,Janssen,,4:33,N,27321,++,
133,Wednesday, 8/27/2014,boxscore,BOS,@,TOR,L,2,5,,58-75,5,18,Stroman,Layne,Cecil,2:38,N,30285,-,
134,Friday, 8/29/2014,boxscore,BOS,@,TBR,W,8,4,,59-75,5,18.5,Ranaudo,Archer,,3:34,N,16107,+,
135,Saturday, 8/30/2014,boxscore,BOS,@,TBR,L,0,7,,59-76,5,19.5,Odorizzi,Webster,,2:48,N,17463,-,
136,Sunday, 8/31/2014,boxscore,BOS,@,TBR,W,3,0,,60-76,5,19.5,Buchholz,Cobb,,2:52,D,16822,+,
137,Monday, 9/1/2014,boxscore,BOS,@,TBR,L-wo,3,4,10,60-77,5,19.5,Balfour,Badenhop,,3:32,D,10543,-,
138,Tuesday, 9/2/2014,boxscore,BOS,@,NYY,W,9,4,,61-77,5,19.5,Kelly,Greene,,3:28,N,40334,+,
139,Wednesday, 9/3/2014,boxscore,BOS,@,NYY,L,1,5,,61-78,5,20.5,Kuroda,Ranaudo,,3:12,N,40007,-,
140,Thursday, 9/4/2014,boxscore,BOS,@,NYY,L-wo,4,5,,61-79,5,21.5,Warren,Uehara,,3:16,N,44708,--,
141,Friday, 9/5/2014,boxscore,BOS,,TOR,W-wo,9,8,10,62-79,5,20.5,Layne,Janssen,,3:53,N,35667,+,
142,Saturday, 9/6/2014,boxscore,BOS,,TOR,W,4,3,,63-79,5,19.5,Buchholz,Happ,Mujica,3:23,N,36677,++,
143,Sunday, 9/7/2014,boxscore,BOS,,TOR,L,1,3,,63-80,5,20.5,Dickey,De La Rosa,Janssen,2:44,D,36261,-,
144,Monday, 9/8/2014,boxscore,BOS,,BAL,L,0,4,,63-81,5,21.5,Gonzalez,Kelly,,3:08,N,35894,--,
145,Tuesday, 9/9/2014,boxscore,BOS,,BAL,L,1,4,,63-82,5,22.5,Tillman,Ranaudo,Britton,3:32,N,37008,---,
146,Wednesday, 9/10/2014,boxscore,BOS,,BAL,L,6,10,,63-83,5,23.5,Chen,Workman,O'Day,3:23,D,35374,----,
147,Thursday, 9/11/2014,boxscore,BOS,@,KCR,W,6,3,,64-83,5,23,Buchholz,Hendriks,Mujica,3:28,N,28673,+,
148,Friday, 9/12/2014,boxscore,BOS,@,KCR,W,4,2,,65-83,5,23.5,Webster,Ventura,Mujica,2:49,N,19191,++,
149,Saturday, 9/13/2014,boxscore,BOS,@,KCR,L,1,7,,65-84,5,23.5,Guthrie,De La Rosa,,2:48,N,26627,-,
150,Sunday, 9/14/2014,boxscore,BOS,@,KCR,W,8,4,,66-84,5,23.5,Kelly,Vargas,,3:23,D,19065,+,
151,Tuesday, 9/16/2014,boxscore,BOS,@,PIT,L,0,4,,66-85,5,25,Morton,Ranaudo,,3:07,N,34698,-,
152,Wednesday, 9/17/2014,boxscore,BOS,@,PIT,L,1,9,,66-86,5,26,Liriano,Buchholz,,3:04,N,34785,--,
153,Thursday, 9/18/2014,boxscore,BOS,@,PIT,L,2,3,,66-87,5,26.5,Cole,Workman,Melancon,2:53,N,36862,---,
154,Friday, 9/19/2014,boxscore,BOS,@,BAL,W,5,3,10,67-87,5,25.5,Tazawa,O'Day,Mujica,3:42,N,39079,+,
155,Saturday, 9/20/2014,boxscore,BOS,@,BAL,L,2,7,,67-88,5,26.5,Tillman,De La Rosa,,2:51,N,43015,-,
156,Sunday, 9/21/2014,boxscore,BOS,@,BAL,W,3,2,,68-88,5,25.5,Kelly,Gonzalez,Mujica,3:07,D,38329,+,
157,Tuesday, 9/23/2014,boxscore,BOS,,TBR,L,2,6,,68-89,5,26,Cobb,Buchholz,,3:14,N,35566,-,
158,Wednesday, 9/24/2014,boxscore,BOS,,TBR,W,11,3,,69-89,5,26,Ranaudo,Odorizzi,,3:40,N,35741,+,
159,Thursday, 9/25/2014,boxscore,BOS,,TBR,W,11,1,,70-89,5,25,Webster,Hellickson,,3:16,N,36590,++,
160,Friday, 9/26/2014,boxscore,BOS,,NYY,L,2,3,,70-90,5,25,Capuano,Wright,Robertson,3:01,N,37605,-,
161,Saturday, 9/27/2014,boxscore,BOS,,NYY,W,10,4,,71-90,5,24,Kelly,Tanaka,,3:04,D,37147,+,
162,Sunday, 9/28/2014,boxscore,BOS,,NYY,L,5,9,,71-91,5,25,Pineda,Buchholz,,3:14,D,36879,-,
