Gm#,Day_of_Week,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
92,Sunday,7/16/2017,boxscore,BOS,,NYY,L,0,3,,51-41,1,up 3.0,Sabathia,Porcello,Chapman,3:13,D,37343,--,
93,Sunday,7/16/2017,boxscore,BOS,,NYY,W,3,0,,52-41,1,up 3.0,Price,Tanaka,Kimbrel,2:59,N,36719,+,
94,Monday,7/17/2017,boxscore,BOS,,TOR,L,3,4,,52-42,1,up 2.0,Tepera,Hembree,Osuna,3:18,N,36144,-,
95,Tuesday,7/18/2017,boxscore,BOS,,TOR,W-wo,5,4,15,53-42,1,up 2.0,Velazquez,Bolsinger,,4:59,N,36488,+,
96,Wednesday,7/19/2017,boxscore,BOS,,TOR,W,5,1,,54-42,1,up 3.0,Pomeranz,Sanchez,,2:47,N,37360,++,
97,Thursday,7/20/2017,boxscore,BOS,,TOR,L,6,8,,54-43,1,up 2.5,Leone,Fister,Osuna,3:25,D,37094,-,
98,Friday,7/21/2017,boxscore,BOS,@,LAA,W,6,2,,55-43,1,up 3.5,Sale,Nolasco,,3:05,N,37714,+,
99,Saturday,7/22/2017,boxscore,BOS,@,LAA,L,3,7,,55-44,1,up 3.5,Ramirez,Price,,3:07,N,43829,-,
100,Sunday,7/23/2017,boxscore,BOS,@,LAA,L,2,3,,55-45,1,up 2.5,Bridwell,Porcello,Norris,2:13,D,40471,--,
101,Monday,7/24/2017,boxscore,BOS,@,SEA,L,0,4,,55-46,1,up 2.0,Paxton,Rodriguez,,2:40,N,29262,---,
102,Tuesday,7/25/2017,boxscore,BOS,@,SEA,L-wo,5,6,13,55-47,1,up 1.0,Zych,Fister,,4:59,N,28992,----,
103,Wednesday,7/26/2017,boxscore,BOS,@,SEA,W,4,0,,56-47,1,up 1.0,Sale,Moore,Kimbrel,2:53,D,39797,+,
104,Friday,7/28/2017,boxscore,BOS,,KCR,L,2,4,,56-48,2,0.5,Vargas,Porcello,Herrera,2:44,N,37321,-,
105,Saturday,7/29/2017,boxscore,BOS,,KCR,W-wo,9,8,10,57-48,2,0.5,Barnes,Minor,,4:45,N,36912,+,
106,Sunday,7/30/2017,boxscore,BOS,,KCR,L,3,5,,57-49,2,0.5,Hammel,Barnes,Herrera,3:13,D,36480,-,
107,Monday,7/31/2017,boxscore,BOS,,CLE,W,6,2,,58-49,2,0.5,Fister,Clevinger,,2:47,N,37169,+,
108,Tuesday,8/1/2017,boxscore,BOS,,CLE,W-wo,12,10,,59-49,1,up 0.5,Kimbrel,Allen,,3:36,N,37126,++,
109,Thursday,8/3/2017,boxscore,BOS,,CHW,W,9,5,,60-49,1,up 2.0,Porcello,Gonzalez,,3:26,N,37442,+++,
110,Friday,8/4/2017,boxscore,BOS,,CHW,W-wo,3,2,11,61-49,1,up 3.0,Hembree,Bummer,,3:43,N,36612,++++,
111,Saturday,8/5/2017,boxscore,BOS,,CHW,W,4,1,,62-49,1,up 3.0,Pomeranz,Shields,Kimbrel,2:41,N,36599,+++++,
112,Sunday,8/6/2017,boxscore,BOS,,CHW,W,6,3,,63-49,1,up 3.0,Fister,Pelfrey,Kimbrel,2:36,D,37283,++++++,
113,Tuesday,8/8/2017,boxscore,BOS,@,TBR,W,2,0,,64-49,1,up 4.0,Sale,Pruitt,Kimbrel,2:52,N,22328,+++++++,
114,Wednesday,8/9/2017,boxscore,BOS,@,TBR,W,8,2,,65-49,1,up 4.0,Porcello,Odorizzi,,2:59,N,11853,++++++++,
115,Friday,8/11/2017,boxscore,BOS,@,NYY,L,4,5,,65-50,1,up 3.5,Warren,Reed,Chapman,3:40,N,46509,-,
116,Saturday,8/12/2017,boxscore,BOS,@,NYY,W,10,5,,66-50,1,up 4.5,Pomeranz,Severino,,3:13,D,47241,+,
117,Sunday,8/13/2017,boxscore,BOS,@,NYY,W,3,2,10,67-50,1,up 5.5,Kimbrel,Chapman,,3:40,N,46610,++,
118,Monday,8/14/2017,boxscore,BOS,,CLE,L,3,7,,67-51,1,up 4.5,Bauer,Fister,,3:14,N,37430,-,
119,Tuesday,8/15/2017,boxscore,BOS,,STL,W,10,4,,68-51,1,up 4.5,Porcello,Leake,,2:52,N,37345,+,
120,Wednesday,8/16/2017,boxscore,BOS,,STL,W-wo,5,4,,69-51,1,up 4.5,Kimbrel,Duke,,3:35,N,37181,++,
121,Friday,8/18/2017,boxscore,BOS,,NYY,W,9,6,,70-51,1,up 5.0,Reed,Kahnle,Kimbrel,4:09,N,36784,+++,
122,Saturday,8/19/2017,boxscore,BOS,,NYY,L,3,4,,70-52,1,up 4.0,Sabathia,Sale,Betances,3:09,N,37274,-,
123,Sunday,8/20/2017,boxscore,BOS,,NYY,W,5,1,,71-52,1,up 5.0,Porcello,Gray,,3:36,D,36911,+,
124,Monday,8/21/2017,boxscore,BOS,@,CLE,L-wo,4,5,,71-53,1,up 4.5,Allen,Workman,,3:39,N,21428,-,
125,Tuesday,8/22/2017,boxscore,BOS,@,CLE,W,9,1,,72-53,1,up 4.5,Fister,Carrasco,,2:41,N,19563,+,
126,Wednesday,8/23/2017,boxscore,BOS,@,CLE,W,6,1,,73-53,1,up 4.5,Pomeranz,Kluber,,3:11,N,25346,++,
127,Thursday,8/24/2017,boxscore,BOS,@,CLE,L,6,13,,73-54,1,up 4.5,Bauer,Sale,,3:28,N,21643,-,
