Gm#,Day_of_Week,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
30,Saturday,5/7/2016,boxscore,BOS,@,NYY,L,2,8,,17-13,2,0.5,Eovaldi,Price,,3:09,D,47822,--,
31,Sunday,5/8/2016,boxscore,BOS,@,NYY,W,5,1,,18-13,2,0.5,Wright,Severino,,2:27,N,41869,+,
32,Monday,5/9/2016,boxscore,BOS,,OAK,W,14,7,,19-13,1,Tied,Buchholz,Gray,,3:46,N,35227,++,
33,Tuesday,5/10/2016,boxscore,BOS,,OAK,W,13,5,,20-13,1,Tied,O'Sullivan,Manaea,,3:07,N,32167,+++,
34,Wednesday,5/11/2016,boxscore,BOS,,OAK,W,13,3,,21-13,1,Tied,Porcello,Surkamp,,3:17,N,33283,++++,
35,Thursday,5/12/2016,boxscore,BOS,,HOU,W,11,1,,22-13,1,Tied,Price,Keuchel,,2:56,N,34982,+++++,
36,Friday,5/13/2016,boxscore,BOS,,HOU,L,6,7,,22-14,2,1,Feldman,Barnes,Gregerson,3:49,N,33148,-,
37,Saturday,5/14/2016,boxscore,BOS,,HOU,W-wo,6,5,11,23-14,2,1,Uehara,Feliz,,4:13,D,37430,+,
38,Sunday,5/15/2016,boxscore,BOS,,HOU,W,10,9,,24-14,1,Tied,Hembree,Feldman,Kimbrel,3:40,D,35736,++,
39,Tuesday,5/17/2016,boxscore,BOS,@,KCR,L,4,8,,24-15,1,Tied,Ventura,Porcello,,2:54,N,25215,-,
40,Wednesday,5/18/2016,boxscore,BOS,@,KCR,L,2,3,,24-16,2,0.5,Flynn,Wright,Davis,2:23,D,33613,--,
41,Wednesday,5/18/2016,boxscore,BOS,@,KCR,W,5,2,,25-16,2,0.5,Price,Volquez,Kimbrel,3:06,N,23739,+,2016-05-16 (Rain)
42,Friday,5/20/2016,boxscore,BOS,,CLE,L,2,4,,25-17,2,1,Kluber,Buchholz,Allen,3:07,N,37354,-,
43,Saturday,5/21/2016,boxscore,BOS,,CLE,W,9,1,,26-17,2,1,Kelly,Bauer,,3:17,D,37254,+,
44,Sunday,5/22/2016,boxscore,BOS,,CLE,W,5,2,,27-17,1,Tied,Porcello,Salazar,Kimbrel,3:23,D,36021,++,
45,Tuesday,5/24/2016,boxscore,BOS,,COL,W,8,3,,28-17,1,up 1.0,Price,De La Rosa,,2:55,N,36123,+++,
46,Wednesday,5/25/2016,boxscore,BOS,,COL,W,10,3,,29-17,1,up 2.0,Wright,Bettis,,3:09,N,36430,++++,
47,Thursday,5/26/2016,boxscore,BOS,,COL,L,2,8,,29-18,1,up 2.0,Gray,Buchholz,,2:51,N,36162,-,
48,Friday,5/27/2016,boxscore,BOS,@,TOR,L,5,7,,29-19,1,up 1.0,Biagini,Uehara,Osuna,2:53,N,46470,--,
49,Saturday,5/28/2016,boxscore,BOS,@,TOR,L-wo,9,10,,29-20,1,up 1.0,Floyd,Kimbrel,,3:37,D,48154,---,
50,Sunday,5/29/2016,boxscore,BOS,@,TOR,W,5,3,11,30-20,1,up 1.0,Buchholz,Floyd,Uehara,4:07,D,47916,+,
51,Monday,5/30/2016,boxscore,BOS,@,BAL,W,7,2,,31-20,1,up 2.0,Wright,Wilson,,2:54,D,43926,++,
52,Tuesday,5/31/2016,boxscore,BOS,@,BAL,W,6,2,,32-20,1,up 3.0,Rodriguez,Gausman,,2:48,N,17664,+++,
53,Wednesday,6/1/2016,boxscore,BOS,@,BAL,L,9,13,,32-21,1,up 2.0,Brach,Buchholz,Britton,3:58,N,20750,-,
54,Thursday,6/2/2016,boxscore,BOS,@,BAL,L,7,12,,32-22,1,up 1.0,Givens,Ross,,2:57,N,21534,--,
55,Friday,6/3/2016,boxscore,BOS,,TOR,L,2,5,,32-23,1,Tied,Dickey,Price,Osuna,3:10,N,37129,---,
56,Saturday,6/4/2016,boxscore,BOS,,TOR,W,6,4,,33-23,1,up 1.0,Wright,Stroman,Kimbrel,3:08,D,37762,+,
57,Sunday,6/5/2016,boxscore,BOS,,TOR,L,4,5,,33-24,1,Tied,Estrada,Rodriguez,,2:44,D,35823,-,
58,Tuesday,6/7/2016,boxscore,BOS,@,SFG,W,5,3,10,34-24,2,0.5,Tazawa,Casilla,Kimbrel,3:04,N,41512,+,
59,Wednesday,6/8/2016,boxscore,BOS,@,SFG,L,1,2,,34-25,2,1.5,Gearrin,Price,Strickland,2:45,N,41635,-,
60,Friday,6/10/2016,boxscore,BOS,@,MIN,W,8,1,,35-25,2,1,Wright,Duffey,,3:00,N,22786,+,
61,Saturday,6/11/2016,boxscore,BOS,@,MIN,W,15,4,,36-25,1,Tied,Hembree,Gibson,,3:45,D,28633,++,
62,Sunday,6/12/2016,boxscore,BOS,@,MIN,L-wo,4,7,10,36-26,1,Tied,Tonkin,Barnes,,3:28,D,26087,-,
63,Tuesday,6/14/2016,boxscore,BOS,,BAL,L,2,3,,36-27,2,1,Tillman,Price,Britton,2:47,N,38009,--,
64,Wednesday,6/15/2016,boxscore,BOS,,BAL,W,6,4,,37-27,1,Tied,Wright,Gausman,Kimbrel,2:58,N,36233,+,
65,Thursday,6/16/2016,boxscore,BOS,,BAL,L,1,5,,37-28,2,1,Wilson,Rodriguez,,2:53,N,36757,-,
66,Friday,6/17/2016,boxscore,BOS,,SEA,L,4,8,,37-29,2,1,Iwakuma,Elias,Cishek,2:49,N,35896,--,
67,Saturday,6/18/2016,boxscore,BOS,,SEA,W,6,2,,38-29,2,1,Porcello,Sampson,,2:53,D,37195,+,
68,Sunday,6/19/2016,boxscore,BOS,,SEA,W,2,1,,39-29,2,1,Price,Diaz,Kimbrel,3:05,D,37211,++,
69,Monday,6/20/2016,boxscore,BOS,,CHW,L,1,3,10,39-30,2,1,Duke,Kimbrel,Robertson,3:33,N,36291,-,
70,Tuesday,6/21/2016,boxscore,BOS,,CHW,L,1,3,,39-31,2,1,Sale,Buchholz,Robertson,2:54,N,36544,--,
71,Wednesday,6/22/2016,boxscore,BOS,,CHW,L,6,8,,39-32,2,2,Jennings,Uehara,Duke,3:38,N,37413,---,
72,Thursday,6/23/2016,boxscore,BOS,,CHW,W-wo,8,7,10,40-32,2,1.5,Kimbrel,Purke,,4:25,D,37790,+,
73,Friday,6/24/2016,boxscore,BOS,@,TEX,W,8,7,,41-32,2,1.5,Hembree,Bush,Uehara,3:48,N,46811,++,
74,Saturday,6/25/2016,boxscore,BOS,@,TEX,L,3,10,,41-33,2,3,Ramos,Wright,,3:30,N,47559,-,
75,Sunday,6/26/2016,boxscore,BOS,@,TEX,L,2,6,,41-34,2,4,Perez,Buchholz,,3:04,D,36312,--,
76,Monday,6/27/2016,boxscore,BOS,@,TBR,L,7,13,,41-35,2,4.5,Snell,Rodriguez,,3:29,N,18024,---,
77,Tuesday,6/28/2016,boxscore,BOS,@,TBR,W,8,2,,42-35,2,4.5,Porcello,Archer,,3:11,N,16986,+,
78,Wednesday,6/29/2016,boxscore,BOS,@,TBR,L,0,4,,42-36,2,5.5,Moore,Price,,2:49,D,24110,-,
79,Friday,7/1/2016,boxscore,BOS,,LAA,W,5,4,,43-36,2,4,Wright,Chacin,Kimbrel,3:36,N,37117,+,
80,Saturday,7/2/2016,boxscore,BOS,,LAA,L,2,21,,43-37,2,4,Santiago,Buchholz,,3:38,N,36552,-,
81,Sunday,7/3/2016,boxscore,BOS,,LAA,W,10,5,,44-37,2,3,O'Sullivan,Shoemaker,,3:52,D,36801,+,
82,Monday,7/4/2016,boxscore,BOS,,TEX,W,12,5,,45-37,2,2,Porcello,Martinez,,3:40,D,36253,++,
83,Tuesday,7/5/2016,boxscore,BOS,,TEX,L,2,7,,45-38,3,3,Ramos,Price,,3:21,N,35964,-,
84,Wednesday,7/6/2016,boxscore,BOS,,TEX,W,11,6,,46-38,3,3,Wright,Perez,,3:19,N,37175,+,
85,Friday,7/8/2016,boxscore,BOS,,TBR,W,6,5,,47-38,3,2,Ross,Archer,Uehara,3:20,N,37739,++,
86,Saturday,7/9/2016,boxscore,BOS,,TBR,W,4,1,,48-38,2,2,Porcello,Moore,Uehara,2:43,D,36900,+++,
87,Sunday,7/10/2016,boxscore,BOS,,TBR,W,4,0,,49-38,2,2,Price,Odorizzi,,2:31,D,36669,++++,
88,Friday,7/15/2016,boxscore,BOS,@,NYY,W,5,3,,50-38,2,2,Wright,Pineda,Uehara,3:05,N,47439,+++++,
89,Saturday,7/16/2016,boxscore,BOS,@,NYY,W,5,2,,51-38,2,2,Rodriguez,Sabathia,Uehara,2:56,D,48329,++++++,
90,Sunday,7/17/2016,boxscore,BOS,@,NYY,L,1,3,,51-39,2,2,Tanaka,Price,Chapman,2:57,N,42884,-,
91,Tuesday,7/19/2016,boxscore,BOS,,SFG,W,4,0,,52-39,2,0.5,Porcello,Peavy,,2:42,N,38082,+,
92,Wednesday,7/20/2016,boxscore,BOS,,SFG,W,11,7,,53-39,1,up 0.5,Barnes,Cain,,3:46,N,38201,++,
93,Thursday,7/21/2016,boxscore,BOS,,MIN,W,13,2,,54-39,1,up 0.5,Wright,Duffey,,2:45,N,37566,+++,
94,Friday,7/22/2016,boxscore,BOS,,MIN,L,1,2,,54-40,2,0.5,Gibson,Rodriguez,Kintzler,3:00,N,37001,-,
95,Saturday,7/23/2016,boxscore,BOS,,MIN,L,9,11,,54-41,2,1.5,Pressly,Layne,Kintzler,4:11,N,37600,--,
96,Sunday,7/24/2016,boxscore,BOS,,MIN,W,8,7,,55-41,2,1.5,Porcello,Milone,Ziegler,3:15,D,36806,+,
97,Monday,7/25/2016,boxscore,BOS,,DET,L,2,4,,55-42,2,2.5,Verlander,Pomeranz,Rodriguez,3:27,N,37479,-,
98,Tuesday,7/26/2016,boxscore,BOS,,DET,L,8,9,,55-43,3,2.5,Wilson,Ross,Rodriguez,3:33,N,38378,--,
99,Wednesday,7/27/2016,boxscore,BOS,,DET,L,3,4,,55-44,3,2.5,Rondon,Ziegler,Wilson,2:55,D,37842,---,
100,Thursday,7/28/2016,boxscore,BOS,@,LAA,L-wo,1,2,,55-45,3,2.5,Bedrosian,Ziegler,,3:05,N,41257,----,
101,Friday,7/29/2016,boxscore,BOS,@,LAA,W,6,2,,56-45,3,1.5,Porcello,Lincecum,,2:30,N,39113,+,
102,Saturday,7/30/2016,boxscore,BOS,@,LAA,L,2,5,,56-46,3,2,Santiago,Pomeranz,Street,3:06,N,43150,-,
103,Sunday,7/31/2016,boxscore,BOS,@,LAA,W,5,3,,57-46,3,1.5,Buchholz,Street,Ziegler,3:32,D,39553,+,
104,Monday,8/1/2016,boxscore,BOS,@,SEA,W,2,1,,58-46,2,1,Tazawa,Cishek,Kimbrel,2:42,N,29601,++,
105,Tuesday,8/2/2016,boxscore,BOS,@,SEA,L,4,5,,58-47,3,2,Roach,Abad,Diaz,2:30,N,25240,-,
106,Wednesday,8/3/2016,boxscore,BOS,@,SEA,L,1,3,,58-48,3,3,Iwakuma,Porcello,Diaz,2:16,N,24494,--,
107,Thursday,8/4/2016,boxscore,BOS,@,SEA,W,3,2,11,59-48,3,2,Kimbrel,Martin,Ziegler,3:47,N,33369,+,
108,Friday,8/5/2016,boxscore,BOS,@,LAD,W,9,0,,60-48,3,2,Wright,Kazmir,,2:49,N,52728,++,
109,Saturday,8/6/2016,boxscore,BOS,@,LAD,L,0,3,,60-49,3,2,Stripling,Rodriguez,Jansen,2:54,D,47696,-,
110,Sunday,8/7/2016,boxscore,BOS,@,LAD,L,5,8,,60-50,3,3,Fields,Price,Jansen,3:23,D,50640,--,
111,Tuesday,8/9/2016,boxscore,BOS,,NYY,W,5,3,,61-50,3,1.5,Porcello,Severino,Barnes,3:13,N,38089,+,
112,Wednesday,8/10/2016,boxscore,BOS,,NYY,L,4,9,,61-51,3,2.5,Clippard,Abad,,4:15,N,37779,-,
113,Thursday,8/11/2016,boxscore,BOS,,NYY,L,2,4,,61-52,3,3,Cessa,Ziegler,Betances,3:02,N,38161,--,
114,Friday,8/12/2016,boxscore,BOS,,ARI,W,9,4,,62-52,3,2.5,Price,Corbin,,2:53,N,37555,+,
115,Saturday,8/13/2016,boxscore,BOS,,ARI,W,6,3,,63-52,3,2,Ross,Bradley,Kimbrel,3:12,N,37653,++,
116,Sunday,8/14/2016,boxscore,BOS,,ARI,W,16,2,,64-52,3,2,Porcello,Greinke,,2:49,D,36842,+++,
117,Monday,8/15/2016,boxscore,BOS,@,CLE,W,3,2,,65-52,3,1,Pomeranz,Tomlin,Kimbrel,2:57,D,19174,++++,2016-04-07 (Rain)
118,Tuesday,8/16/2016,boxscore,BOS,@,BAL,W,5,3,,66-52,2,1,Ziegler,Brach,Kimbrel,3:05,N,26014,+++++,
119,Wednesday,8/17/2016,boxscore,BOS,@,BAL,W,8,1,6,67-52,2,1,Price,Bundy,,2:12,N,26160,++++++,
120,Thursday,8/18/2016,boxscore,BOS,@,DET,L,3,4,,67-53,2,1.5,Wilson,Tazawa,Rodriguez,3:23,D,34649,-,
121,Friday,8/19/2016,boxscore,BOS,@,DET,W,10,2,,68-53,2,0.5,Porcello,Fulmer,,2:46,N,36108,+,
122,Saturday,8/20/2016,boxscore,BOS,@,DET,W,3,2,,69-53,2,0.5,Pomeranz,Norris,Kimbrel,2:36,N,37886,++,
123,Sunday,8/21/2016,boxscore,BOS,@,DET,L,5,10,,69-54,2,0.5,Verlander,Owens,,3:09,D,31032,-,
124,Monday,8/22/2016,boxscore,BOS,@,TBR,W,6,2,,70-54,1,Tied,Price,Snell,,3:13,N,13576,+,
125,Tuesday,8/23/2016,boxscore,BOS,@,TBR,W,2,1,,71-54,1,Tied,Buchholz,Archer,Kimbrel,3:09,N,11249,++,
126,Wednesday,8/24/2016,boxscore,BOS,@,TBR,L-wo,3,4,11,71-55,1,Tied,Boxberger,Hembree,,3:41,N,11896,-,
127,Thursday,8/25/2016,boxscore,BOS,@,TBR,L,1,2,,71-56,1,Tied,Odorizzi,Pomeranz,Romero,2:32,D,12059,--,
128,Friday,8/26/2016,boxscore,BOS,,KCR,L,3,6,,71-57,2,1,Kennedy,Wright,Herrera,3:14,N,38134,---,
129,Saturday,8/27/2016,boxscore,BOS,,KCR,W,8,3,,72-57,2,1,Price,Duffy,,3:03,N,37933,+,
130,Sunday,8/28/2016,boxscore,BOS,,KCR,L,4,10,,72-58,2,2,Strahm,Rodriguez,,3:25,N,37337,-,
131,Monday,8/29/2016,boxscore,BOS,,TBR,W,9,4,,73-58,2,2,Porcello,Andriese,,3:11,N,36948,+,
132,Tuesday,8/30/2016,boxscore,BOS,,TBR,L,3,4,,73-59,2,2,Romero,Buchholz,Colome,3:11,N,37083,-,
133,Wednesday,8/31/2016,boxscore,BOS,,TBR,W,8,6,,74-59,2,2,Tazawa,Ramirez,Kimbrel,3:10,D,36786,+,
134,Friday,9/2/2016,boxscore,BOS,@,OAK,W,16,2,,75-59,2,1,Price,Neal,,3:27,N,21376,++,
135,Saturday,9/3/2016,boxscore,BOS,@,OAK,W,11,2,,76-59,1,Tied,Porcello,Mengden,,3:00,N,30045,+++,
136,Sunday,9/4/2016,boxscore,BOS,@,OAK,L-wo,0,1,,76-60,2,1,Madson,Kimbrel,,2:39,D,25139,-,
137,Monday,9/5/2016,boxscore,BOS,@,SDP,L,1,2,,76-61,2,1,Jackson,Pomeranz,Maurer,3:01,D,40446,--,
138,Tuesday,9/6/2016,boxscore,BOS,@,SDP,W,5,1,,77-61,1,Tied,Buchholz,Clemens,,3:04,N,30644,+,
139,Wednesday,9/7/2016,boxscore,BOS,@,SDP,W,7,2,,78-61,1,up 1.0,Price,Cosart,,3:01,N,31662,++,
140,Friday,9/9/2016,boxscore,BOS,@,TOR,W,13,3,,79-61,1,up 2.0,Porcello,Estrada,,3:23,N,46953,+++,
141,Saturday,9/10/2016,boxscore,BOS,@,TOR,L,2,3,,79-62,1,up 1.0,Happ,Rodriguez,Osuna,3:03,D,47829,-,
142,Sunday,9/11/2016,boxscore,BOS,@,TOR,W,11,8,,80-62,1,up 2.0,Ross,Schultz,Kimbrel,3:46,D,47816,+,
143,Monday,9/12/2016,boxscore,BOS,,BAL,W,12,2,,81-62,1,up 2.0,Price,Miley,,2:40,N,37551,++,
144,Tuesday,9/13/2016,boxscore,BOS,,BAL,L,3,6,,81-63,1,up 2.0,Bundy,Pomeranz,Britton,3:29,N,38041,-,
145,Wednesday,9/14/2016,boxscore,BOS,,BAL,L,0,1,,81-64,1,up 1.0,Gausman,Porcello,Britton,2:35,N,37973,--,
146,Thursday,9/15/2016,boxscore,BOS,,NYY,W-wo,7,5,,82-64,1,up 2.0,Kelly,Betances,,3:52,N,37767,+,
147,Friday,9/16/2016,boxscore,BOS,,NYY,W,7,4,,83-64,1,up 2.0,Buchholz,Cessa,Kimbrel,3:13,N,37927,++,
148,Saturday,9/17/2016,boxscore,BOS,,NYY,W,6,5,,84-64,1,up 3.0,Barnes,Warren,Kimbrel,3:36,D,37267,+++,
149,Sunday,9/18/2016,boxscore,BOS,,NYY,W,5,4,,85-64,1,up 3.0,Scott,Clippard,Uehara,3:31,N,37306,++++,
150,Monday,9/19/2016,boxscore,BOS,@,BAL,W,5,2,,86-64,1,up 4.0,Porcello,Bundy,,2:33,N,18456,+++++,
151,Tuesday,9/20/2016,boxscore,BOS,@,BAL,W,5,2,,87-64,1,up 4.0,Rodriguez,Gausman,Kimbrel,3:14,N,20387,++++++,
152,Wednesday,9/21/2016,boxscore,BOS,@,BAL,W,5,1,,88-64,1,up 5.0,Buchholz,Jimenez,,2:55,N,20865,+++++++,
153,Thursday,9/22/2016,boxscore,BOS,@,BAL,W,5,3,,89-64,1,up 5.5,Price,Worley,Kimbrel,3:19,N,26788,++++++++,
154,Friday,9/23/2016,boxscore,BOS,@,TBR,W,2,1,,90-64,1,up 5.5,Pomeranz,Archer,Ziegler,2:52,N,20543,+++++++++,
155,Saturday,9/24/2016,boxscore,BOS,@,TBR,W,6,4,,91-64,1,up 5.5,Porcello,Garton,Kimbrel,3:10,N,25641,++++++++++,
156,Sunday,9/25/2016,boxscore,BOS,@,TBR,W,3,2,10,92-64,1,up 5.5,Kelly,Gamboa,,4:01,D,26443,+++++++++++,
157,Tuesday,9/27/2016,boxscore,BOS,@,NYY,L,4,6,,92-65,1,up 5.0,Parker,Price,Clippard,3:09,N,35161,-,
158,Wednesday,9/28/2016,boxscore,BOS,@,NYY,L-wo,3,5,,92-66,1,up 5.0,Pazos,Kimbrel,,3:28,N,35520,--,
159,Thursday,9/29/2016,boxscore,BOS,@,NYY,L,1,5,,92-67,1,up 5.0,Sabathia,Owens,,3:17,N,41597,---,
160,Friday,9/30/2016,boxscore,BOS,,TOR,W,5,3,,93-67,1,up 5.0,Ziegler,Biagini,Kimbrel,3:25,N,37661,+,
161,Saturday,10/1/2016,boxscore,BOS,,TOR,L,3,4,,93-68,1,up 5.0,Osuna,Kimbrel,,3:29,N,37396,-,
162,Sunday,10/2/2016,boxscore,BOS,,TOR,L,1,2,,93-69,1,up 4.0,Sanchez,Ziegler,Osuna,3:14,D,36787,--,
