Gm#,Day_Of_Week,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
15,Wednesday, 4/22/2015,boxscore,BOS,@,TBR,L,5,7,,6-Sep,1,up 1.0,Boxberger,Mujica,Geltz,3:10,N,12733,-,
16,Thursday, 4/23/2015,boxscore,BOS,@,TBR,L-wo,1,2,,7-Sep,1,Tied,Boxberger,Varvaro,,3:00,N,13834,--,
17,Friday, 4/24/2015,boxscore,BOS,@,BAL,W,7,5,,7-Oct,1,Tied,Ogando,Matusz,Uehara,3:29,N,37359,+,
18,Saturday, 4/25/2015,boxscore,BOS,@,BAL,L-wo,4,5,10,8-Oct,1,Tied,Matusz,Uehara,,2:57,N,36757,-,
19,Sunday, 4/26/2015,boxscore,BOS,@,BAL,L,7,18,,9-Oct,3,1,Norris,Miley,,3:13,D,43802,--,
20,Monday, 4/27/2015,boxscore,BOS,,TOR,W-wo,6,5,,9-Nov,2,1,Uehara,Castro,,2:48,N,34739,+,
21,Tuesday, 4/28/2015,boxscore,BOS,,TOR,L,8,11,,10-Nov,2,2,Estrada,Buchholz,Cecil,4:01,N,33920,-,
22,Wednesday, 4/29/2015,boxscore,BOS,,TOR,W,4,1,,10-Dec,2,1,Porcello,Dickey,Uehara,2:43,N,34220,+,
23,Friday, 5/1/2015,boxscore,BOS,,NYY,L,2,3,,11-Dec,3,2,Rogers,Tazawa,Miller,3:14,N,35444,-,
24,Saturday, 5/2/2015,boxscore,BOS,,NYY,L,2,4,,12-Dec,3,3,Eovaldi,Miley,Betances,2:44,D,36611,--,
25,Sunday, 5/3/2015,boxscore,BOS,,NYY,L,5,8,,13-Dec,4,4,Warren,Kelly,Miller,3:52,N,33198,---,
26,Monday, 5/4/2015,boxscore,BOS,,TBR,L,1,5,,14-Dec,5,4,Odorizzi,Buchholz,,3:10,N,34541,----,
27,Tuesday, 5/5/2015,boxscore,BOS,,TBR,W,2,0,,13-14,4,4,Porcello,Smyly,Uehara,2:26,N,33688,+,
28,Wednesday, 5/6/2015,boxscore,BOS,,TBR,L,3,5,,13-15,5,4,Colome,Masterson,Boxberger,3:22,N,35060,-,
29,Friday, 5/8/2015,boxscore,BOS,@,TOR,L,0,7,,13-16,4,5.5,Sanchez,Miley,,2:41,N,30430,--,
30,Saturday, 5/9/2015,boxscore,BOS,@,TOR,L,1,7,,13-17,5,5.5,Hutchison,Kelly,,3:12,D,42917,---,
31,Sunday, 5/10/2015,boxscore,BOS,@,TOR,W,6,3,,14-17,4,5.5,Buchholz,Dickey,Uehara,2:38,D,42419,+,
32,Monday, 5/11/2015,boxscore,BOS,@,OAK,W,5,4,11,15-17,4,5.5,Barnes,Castro,,3:57,N,19743,++,
33,Tuesday, 5/12/2015,boxscore,BOS,@,OAK,L,2,9,,15-18,4,5.5,Pomeranz,Masterson,,2:32,N,24605,-,
34,Wednesday, 5/13/2015,boxscore,BOS,@,OAK,W,2,0,,16-18,4,4.5,Miley,Gray,Uehara,2:33,D,22389,+,
35,Thursday, 5/14/2015,boxscore,BOS,@,SEA,W,2,1,,17-18,3,3.5,Barnes,Rodney,Uehara,2:53,N,20172,++,
36,Friday, 5/15/2015,boxscore,BOS,@,SEA,L-wo,1,2,,17-19,3,3.5,Wilhelmsen,Layne,,2:32,N,39477,-,
37,Saturday, 5/16/2015,boxscore,BOS,@,SEA,W,4,2,,18-19,3,3.5,Porcello,Hernandez,Uehara,2:48,N,45055,+,
38,Sunday, 5/17/2015,boxscore,BOS,@,SEA,L,0,5,,18-20,3,3.5,Paxton,Wright,,2:31,D,39936,-,
39,Tuesday, 5/19/2015,boxscore,BOS,,TEX,W,4,3,,19-20,3,2.5,Miley,Gallardo,Uehara,2:50,N,36580,+,
40,Wednesday, 5/20/2015,boxscore,BOS,,TEX,L,1,2,,19-21,3,2.5,Klein,Kelly,Tolleson,3:13,N,35726,-,
41,Thursday, 5/21/2015,boxscore,BOS,,TEX,L,1,3,,19-22,4,3.5,Rodriguez,Buchholz,Tolleson,2:49,N,34945,--,
42,Friday, 5/22/2015,boxscore,BOS,,LAA,L,5,12,,19-23,4,4.5,Richards,Porcello,,3:35,N,36150,---,
43,Saturday, 5/23/2015,boxscore,BOS,,LAA,W,8,3,,20-23,4,3.5,Wright,Wilson,,3:09,N,37735,+,
44,Sunday, 5/24/2015,boxscore,BOS,,LAA,W,6,1,,21-23,3,2.5,Miley,Santiago,,2:37,D,37742,++,
45,Monday, 5/25/2015,boxscore,BOS,@,MIN,L,2,7,,21-24,4,2.5,Nolasco,Kelly,,2:52,D,29472,-,
46,Tuesday, 5/26/2015,boxscore,BOS,@,MIN,L,1,2,,21-25,4,3,Pelfrey,Buchholz,Perkins,2:36,N,23268,--,
47,Wednesday, 5/27/2015,boxscore,BOS,@,MIN,L,4,6,,21-26,4,4,Hughes,Porcello,Perkins,2:29,D,30027,---,
48,Thursday, 5/28/2015,boxscore,BOS,@,TEX,W,5,1,,22-26,4,3,Rodriguez,Martinez,,2:49,N,34085,+,
49,Friday, 5/29/2015,boxscore,BOS,@,TEX,L,4,7,,22-27,5,3,Gallardo,Wright,Tolleson,2:59,N,38176,-,
50,Saturday, 5/30/2015,boxscore,BOS,@,TEX,L,0,8,,22-28,5,4,Gonzalez,Miley,,2:49,N,42831,--,
51,Sunday, 5/31/2015,boxscore,BOS,@,TEX,L-wo,3,4,,22-29,5,4,Ohlendorf,Uehara,,3:16,D,32848,---,
52,Tuesday, 6/2/2015,boxscore,BOS,,MIN,W,1,0,,23-29,4,4.5,Buchholz,Pelfrey,Uehara,2:21,N,32622,+,
53,Wednesday, 6/3/2015,boxscore,BOS,,MIN,W,6,3,,24-29,4,5,Rodriguez,Hughes,,2:33,D,31704,++,
54,Wednesday, 6/3/2015,boxscore,BOS,,MIN,L,0,2,,24-30,4,5,May,Porcello,Perkins,2:15,N,33291,-,2015-06-01 (Rain)
55,Thursday, 6/4/2015,boxscore,BOS,,MIN,L,4,8,,24-31,5,5.5,Thompson,Uehara,,3:12,D,33615,--,
56,Friday, 6/5/2015,boxscore,BOS,,OAK,W,4,2,,25-31,5,5.5,Miley,Kazmir,Uehara,2:31,N,34910,+,
57,Saturday, 6/6/2015,boxscore,BOS,,OAK,W,4,2,,26-31,4,5.5,Kelly,Chavez,Uehara,3:10,D,36713,++,
58,Sunday, 6/7/2015,boxscore,BOS,,OAK,W,7,4,,27-31,4,5.5,Wright,Clippard,Layne,3:11,D,36913,+++,
59,Tuesday, 6/9/2015,boxscore,BOS,@,BAL,L,0,1,,27-32,5,6.5,Roe,Barnes,Britton,3:08,N,28460,-,
60,Wednesday, 6/10/2015,boxscore,BOS,@,BAL,L,2,5,,27-33,5,6.5,Chen,Porcello,O'Day,2:36,N,22201,--,
61,Thursday, 6/11/2015,boxscore,BOS,@,BAL,L,5,6,,27-34,5,7,Tillman,Miley,Britton,2:39,N,22840,---,
62,Friday, 6/12/2015,boxscore,BOS,,TOR,L,10,13,,27-35,5,7,Delabar,Tazawa,Cecil,3:24,N,37575,----,
63,Saturday, 6/13/2015,boxscore,BOS,,TOR,L,4,5,11,27-36,5,7,Loup,Barnes,Cecil,3:26,D,37158,-----,
64,Sunday, 6/14/2015,boxscore,BOS,,TOR,L,5,13,,27-37,5,8,Estrada,Rodriguez,,3:12,D,36296,------,
65,Monday, 6/15/2015,boxscore,BOS,,ATL,L,2,4,,27-38,5,9,Perez,Porcello,Grilli,2:54,N,34439,-------,
66,Tuesday, 6/16/2015,boxscore,BOS,,ATL,W,9,4,,28-38,5,8,Miley,Teheran,,2:38,D,35662,+,
67,Wednesday, 6/17/2015,boxscore,BOS,@,ATL,L,2,5,,28-39,5,9,Masset,Tazawa,Grilli,3:09,N,28982,-,
68,Thursday, 6/18/2015,boxscore,BOS,@,ATL,W,5,2,,29-39,5,9,Buchholz,Miller,Uehara,3:04,N,31783,+,
69,Friday, 6/19/2015,boxscore,BOS,@,KCR,W,7,3,,30-39,5,9,Rodriguez,Pino,,2:57,N,38190,++,
70,Saturday, 6/20/2015,boxscore,BOS,@,KCR,L,4,7,,30-40,5,10,Volquez,Porcello,Holland,3:09,N,39115,-,
71,Sunday, 6/21/2015,boxscore,BOS,@,KCR,W,13,2,,31-40,5,9,Miley,Young,,2:58,D,37975,+,
72,Tuesday, 6/23/2015,boxscore,BOS,,BAL,L,4,6,,31-41,5,9.5,Jimenez,Kelly,Britton,3:08,N,36508,-,
73,Wednesday, 6/24/2015,boxscore,BOS,,BAL,W,5,1,,32-41,5,8.5,Buchholz,Norris,,2:38,N,37762,+,
74,Thursday, 6/25/2015,boxscore,BOS,,BAL,L,6,8,,32-42,5,9,Gonzalez,Rodriguez,Britton,3:06,D,37706,-,
75,Friday, 6/26/2015,boxscore,BOS,@,TBR,W,4,3,10,33-42,5,8,Ogando,Geltz,Uehara,3:23,N,17508,+,
76,Saturday, 6/27/2015,boxscore,BOS,@,TBR,L,1,4,,33-43,5,9,Andriese,Miley,Boxberger,2:21,D,23876,-,
77,Sunday, 6/28/2015,boxscore,BOS,@,TBR,W,5,3,,34-43,5,8,Masterson,Archer,Uehara,3:02,D,21963,+,
78,Monday, 6/29/2015,boxscore,BOS,@,TOR,W,3,1,,35-43,5,7,Buchholz,Dickey,Uehara,2:26,N,27107,++,
79,Tuesday, 6/30/2015,boxscore,BOS,@,TOR,W,4,3,,36-43,5,6,Rodriguez,Estrada,Uehara,3:04,N,28942,+++,
80,Wednesday, 7/1/2015,boxscore,BOS,@,TOR,L,2,11,,36-44,5,7,Buehrle,Porcello,,2:19,D,45392,-,
81,Thursday, 7/2/2015,boxscore,BOS,@,TOR,W,12,6,,37-44,5,6,Miley,Boyd,,3:34,N,29758,+,
82,Friday, 7/3/2015,boxscore,BOS,,HOU,L,8,12,10,37-45,5,7,Hernandez,Ramirez,,4:23,N,37837,-,
83,Saturday, 7/4/2015,boxscore,BOS,,HOU,W,6,1,,38-45,5,7,Buchholz,McHugh,,3:02,D,36703,+,
84,Sunday, 7/5/2015,boxscore,BOS,,HOU,W,5,4,,39-45,5,6,Barnes,Sipp,Uehara,4:01,D,36481,++,
85,Tuesday, 7/7/2015,boxscore,BOS,,MIA,W,4,3,,40-45,5,5,Tazawa,Cishek,Uehara,2:44,N,36863,+++,
86,Wednesday, 7/8/2015,boxscore,BOS,,MIA,W,6,3,,41-45,5,5,Porcello,Koehler,Uehara,2:41,N,37009,++++,
87,Friday, 7/10/2015,boxscore,BOS,,NYY,L,1,5,,41-46,5,6.5,Pineda,Buchholz,,3:03,N,37984,-,
88,Saturday, 7/11/2015,boxscore,BOS,,NYY,W,5,3,,42-46,5,5.5,Rodriguez,Nova,Uehara,3:10,N,38047,+,
89,Sunday, 7/12/2015,boxscore,BOS,,NYY,L,6,8,,42-47,5,6.5,Eovaldi,Miley,,3:36,D,37283,-,
90,Friday, 7/17/2015,boxscore,BOS,@,LAA,L-wo,0,1,,42-48,5,7.5,Smith,Uehara,,2:24,N,43234,--,
91,Saturday, 7/18/2015,boxscore,BOS,@,LAA,L,0,3,,42-49,5,7.5,Richards,Porcello,,2:37,N,43631,---,
92,Monday, 7/20/2015,boxscore,BOS,@,LAA,L,1,11,,42-50,5,9,Santiago,Rodriguez,,3:05,D,42503,----,
93,Monday, 7/20/2015,boxscore,BOS,@,LAA,L,3,7,,42-51,5,9,Heaney,Wright,Smith,2:34,N,38042,-----,2015-07-19 (Rain)
94,Tuesday, 7/21/2015,boxscore,BOS,@,HOU,L,3,8,,42-52,5,10,Velasquez,Johnson,,3:01,N,26913,------,
95,Wednesday, 7/22/2015,boxscore,BOS,@,HOU,L,2,4,,42-53,5,11,McHugh,Kelly,Gregerson,2:44,N,31104,-------,
96,Thursday, 7/23/2015,boxscore,BOS,@,HOU,L-wo,4,5,,42-54,5,12,Fields,Breslow,,3:31,N,30748,--------,
97,Friday, 7/24/2015,boxscore,BOS,,DET,W-wo,2,1,11,43-54,5,11,Masterson,Hardy,,3:42,N,37650,+,
98,Saturday, 7/25/2015,boxscore,BOS,,DET,L,1,5,,43-55,5,12,Simon,Wright,,2:57,D,37256,-,
99,Sunday, 7/26/2015,boxscore,BOS,,DET,W,11,1,,44-55,5,12,Rodriguez,Greene,,3:14,N,35582,+,
100,Monday, 7/27/2015,boxscore,BOS,,CHW,L,8,10,,44-56,5,13,Albers,Ross,Robertson,3:54,N,37401,-,
101,Tuesday, 7/28/2015,boxscore,BOS,,CHW,L,4,9,,44-57,5,14,Samardzija,Miley,,2:39,N,38063,--,
102,Wednesday, 7/29/2015,boxscore,BOS,,CHW,L,2,9,,44-58,5,14,Quintana,Porcello,,3:42,N,37104,---,
103,Thursday, 7/30/2015,boxscore,BOS,,CHW,W,8,2,,45-58,5,13,Wright,Sale,,2:40,N,36215,+,
